Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort
BasalCorium,inner margin narrowly black,,,,
BasalCorium,"inner margin white, with a row of black punctures",,,,
ApicalCorium,largely white,,,,
ApicalCorium,narrowly red,,,,
ApicalCorium,narrowly white,,,,
Pilosity,glabrous,,,,
Pilosity,pilose,,,,
Ventrites,v4-v6 with small triangular bare spots anterolaterally,,,,
Ventrites,v4-v6 with large oval bare spots anterolaterally,,,,
Ventrites,ventrites with someewhat arbitrary bare areas,,,,
Ventrites,ventrites entirely bare,,,,
