Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort
ForewingColor,Entirely brown,,,,
ForewingColor,Green to white with black lines on veins,,,,
ForewingColor,Mostly transparent with red patterning on the apical half,,,,
HeadColor,White to yellow to blue lines with black borders,,,,
HeadColor,"Brown with light speckles",,,,
HeadColor,Dark brown with light brown patterning,,,,
ColorSymmetrical,Nearly symmetrical,,,,
ColorSymmetrical,Asymmetrical,,,,
EyeColor,Yellow with random black markings,,,,
EyeColor,Entirely light blue to green with random black markings,,,,
EyeColor,"Dorsally brown, ventrally pale with dark stripes",,,,
EyeColor,White to light blue with distinct black stripes,,,,
Range,Southeastern,,,,
Range,TX,,,,
Range,CA,,,,
Range,NV,,,,
Range,AZ,,,,
AbdomenColor,"White extends almost to the posterior abdomen, black is evident, more speckled lower down",,,,
AbdomenColor,"White extends to posterior of abdomen, black is more consistently splotchy lower down",,,,
AbdomenColor,Entirely white/yellow,,,,
AbdomenColor,"Same color as head, with a dark slash in the center of each segment and a dorsal indentation",,,,
AbdomenColor,"White, <i>usually</i> restricted to the first few segments, with only a quadrate black spot lower down",,,,
