Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort
Sex,male,,,,
Sex,female,,,,
FrontalStripe,"very wide,oval-ish",,,,
FrontalStripe,narrow but parallel-sided,,,,
FrontalStripe,wide and parallel-sided,,,,
FrontalStripe,"very narrow, almost constricted",,,,
Parafrontal,"somewhat narrow, constricted medially, somewhat yellowish",,,,
Parafrontal,"if visible, extremely narrow",,,,
Parafrontal,"very wide, entirely whitish",,,,
Parafrontal,not visible,,,,
Scutum,diffuse,,,,
Abdomen,almost always with orange,,,,
Abdomen,entirely gray-black,,,,
